ID,Crop Name,N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Rain (mm),Hum (%),pH,Soil Type,Season
1,Tulsi,60.69,47.27,48.61,28.32,1449.44,64.88,6.54,Alluvial,Perennial
2,Capsicum,107.68,90.19,117.99,27.22,604.2,62.75,6.4,Loamy,Kharif/Rabi
3,Tea (Clone),141.38,38.42,67.84,29.05,2668.44,92.01,4.73,Red,Perennial
4,Tobacco,114.49,69.33,114.95,22.29,1149.69,60.99,6.6,Loamy,Kharif/Rabi
5,Broccoli,149.69,94.34,96.26,15.46,771.56,82.71,6.48,Loamy,Rabi
6,Onion,123.07,51.47,92.66,21.56,665.03,60.87,7.09,Loamy,Kharif/Rabi
7,Bajra,77.42,38.71,35.69,36.38,446.67,54.35,6.82,Sandy,Kharif
8,Peach,127.07,77.78,85.28,0.0,983.49,70.46,6.44,Forest,Perennial
9,Mentha,136.0,56.92,59.19,26.53,1207.4,77.6,6.9,Alluvial,Zaid
10,Cabbage,120.36,84.09,90.56,22.67,573.19,66.4,6.77,Loamy,Rabi
11,Broccoli,142.37,82.11,84.06,16.22,707.6,82.87,6.03,Alluvial,Rabi
12,Cowpea,37.01,59.05,30.2,28.27,600.29,56.05,6.1,Alluvial,Kharif
13,Capsicum,110.77,84.46,114.39,23.2,668.32,66.58,6.32,Forest,Kharif/Rabi
14,Sugarcane,257.9,102.51,120.02,33.21,1971.85,84.98,6.54,Alluvial,Perennial (Annual)
15,Fennel,97.49,40.82,47.0,28.03,739.85,65.38,7.6,Loamy,Rabi
16,Betel Vine,173.54,130.98,116.56,28.65,2240.22,79.75,6.37,Red,Perennial
17,Popcorn,130.85,66.12,48.41,26.57,612.67,72.0,5.93,Alluvial,Kharif
18,Dragon Fruit,65.52,44.27,90.74,22.91,838.79,61.4,6.59,Laterite,Perennial
19,Bamboo,159.56,79.3,113.15,20.2,1449.16,76.91,6.3,Forest,Perennial
20,Mushrooms,11.67,8.33,6.95,25.32,826.72,83.18,6.95,Peaty/Organic Waste,Year-round
21,Litchi,149.7,62.47,112.82,31.48,1642.48,68.42,6.84,Alluvial,Perennial
22,Taramira,54.53,39.04,29.79,12.25,332.38,49.96,7.53,Arid/Desert,Rabi
23,Oil Palm,189.77,116.52,220.47,29.54,3265.41,86.68,6.46,Laterite,Perennial
24,Bitter Gourd,66.35,47.83,75.02,23.03,699.0,73.12,6.21,Sandy Loam,Zaid/Kharif
25,Maize (Corn),102.5,63.75,50.07,31.92,921.41,55.6,6.57,Loamy,Kharif
26,Chironji,35.35,41.48,42.24,31.89,544.54,50.63,6.6,Laterite,Perennial
27,Ragi,74.01,36.19,39.07,27.89,883.57,68.48,6.83,Laterite,Kharif
28,Amla,74.57,57.09,54.61,28.86,612.95,62.37,6.9,Red,Perennial
29,Niger Seed,49.7,57.56,38.0,20.28,726.51,66.87,6.89,Red,Kharif
30,Popcorn,142.96,63.35,47.99,29.52,896.51,62.36,6.64,Loamy,Kharif
31,Cashew Nut,74.88,39.81,56.42,22.87,1355.58,60.66,6.57,Laterite,Perennial
32,Bottle Gourd,71.34,40.34,62.94,33.77,698.46,57.43,7.09,Red,Zaid/Kharif
33,Ajwain,57.32,22.81,20.2,31.15,369.7,40.32,6.7,Alluvial,Rabi
34,Cashew Nut,63.98,33.75,54.36,24.6,1543.49,66.05,7.32,Laterite,Perennial
35,Marigold,62.77,70.55,89.09,27.9,857.48,74.72,6.84,Red,Kharif/Rabi
36,Amaranth,59.98,39.78,36.42,20.48,597.64,62.06,6.29,Red,Kharif
37,Brahmi,75.92,48.1,44.02,25.78,1978.92,92.53,7.24,Peaty/Marshy,Perennial
38,Amla,60.14,53.82,55.39,28.25,750.55,53.66,6.71,Red,Perennial
39,Niger Seed,48.98,54.24,30.28,25.65,779.84,64.84,6.26,Laterite,Kharif
40,Coffee,145.22,52.61,129.09,18.61,1453.23,83.38,6.09,Forest,Perennial
41,Wheat,107.36,67.37,58.87,10.36,641.47,42.69,7.48,Alluvial,Rabi
42,Pomegranate,71.43,50.01,72.17,27.76,511.65,55.79,8.22,Saline,Perennial
43,Cowpea,25.64,44.96,32.22,27.23,558.07,59.14,6.95,Sandy,Kharif
44,Little Millet,31.97,24.01,21.52,24.88,654.63,42.31,6.58,Sandy,Kharif
45,Mango,118.82,76.3,126.45,25.03,1393.87,72.67,5.83,Alluvial,Perennial (Fruiting: Summer)
46,Gokhru,25.69,22.32,27.88,33.88,497.02,37.66,7.26,Arid/Desert,Kharif
47,Sesame,49.0,22.2,23.92,32.82,635.95,59.29,6.45,Alluvial,Kharif
48,Groundnut,25.92,68.41,68.33,22.76,803.45,59.95,6.8,Sandy,Kharif
49,Plum,129.59,72.98,96.41,0.0,994.22,63.27,6.51,Forest,Perennial
50,Makhana,63.21,55.08,55.36,20.92,2345.14,81.96,6.53,Marshy (Stagnant Water),Kharif
51,Aloe Vera,31.66,33.04,28.53,27.67,391.56,46.07,7.55,Saline,Perennial
52,Jasmine,100.74,115.64,103.74,34.1,1477.69,87.92,6.78,Red,Perennial
53,Groundnut,46.92,58.17,56.19,31.77,784.95,61.02,6.55,Red,Kharif
54,Kalmegh,59.68,48.25,39.12,30.94,1727.39,66.52,7.4,Forest,Kharif
55,Tulsi,62.58,41.42,49.92,24.34,1227.67,62.7,6.25,Red,Perennial
56,Foxtail Millet,42.14,20.95,20.62,26.6,558.63,53.52,6.1,Alluvial,Kharif
57,Lentil,25.51,47.02,23.3,16.26,534.7,48.86,7.01,Loamy,Rabi
58,Mustard,91.14,40.58,23.57,19.06,454.27,52.97,6.33,Loamy,Rabi
59,Rajma,117.28,64.19,56.23,20.98,914.91,61.58,5.85,Loamy,Rabi
60,Okra,116.25,53.7,58.76,24.14,812.28,69.56,6.64,Black,Kharif/Zaid
61,Wheat,127.01,58.15,40.47,23.39,799.77,44.46,6.57,Loamy,Rabi
62,Kodo Millet,36.57,20.07,24.51,25.55,468.07,44.33,7.33,Arid,Kharif
63,Karakunda,65.62,55.32,58.48,20.26,1096.41,83.19,6.21,Mountain,Perennial
64,Horse Gram,23.8,38.6,29.64,30.2,400.36,50.65,6.9,Sandy,Kharif
65,Okra,112.71,53.47,53.13,32.8,757.71,65.1,6.04,Loamy,Kharif/Zaid
